"id","scope_kind","feature","domain","original_type","original_audience","original_priority","original_prototype_target","original_scenarios","description","personas","journeys","screens","permission_contract","edge_cases","verification_status","observed_run_evidence","required_evidence","acceptance_checks","related_ids","implementation_status","evidence_basis","historical_audit_status","historical_audit_limitation","competitor_evidence","source_refs","delivery_scope","reconciled_on"
"A011","baseline","All projects filter","Home","Inherited","All","not_assigned","not_assigned","not_assigned","All projects filter. Inherited behavior: Dashboard filter. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Show all authorized projects and an empty state; paginated totals and workspace boundaries remain correct. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","working_locally_reported","E03 historical row reports Working locally: Project library with source filters. No newer row-specific verification reviewed.","Working locally","Project library with source filters.","Live verified; 01-home-dashboard.png; Dashboard filter. Evidence about Architect only.","E01 || E03#A011","committed_scope_not_completion","2026-09-25"
"A012","baseline","Deployed projects filter","Home","Inherited","All","not_assigned","not_assigned","not_assigned","Deployed projects filter. Inherited behavior: Dashboard filter. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Filter by observed deployment state; local release snapshots must not appear as deployed projects. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 01-home-dashboard.png; Dashboard filter. Evidence about Architect only.","E01 || E03#A012","committed_scope_not_completion","2026-09-25"
"A013","baseline","Shared-with-me filter","Home","Inherited","Teams","not_assigned","not_assigned","not_assigned","Shared-with-me filter. Inherited behavior: Dashboard filter. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","List only projects actually shared with this identity; revocation removes results and deep-link access. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 01-home-dashboard.png; Dashboard filter. Evidence about Architect only.","E01 || E03#A013","committed_scope_not_completion","2026-09-25"
"A014","baseline","Newest-first sorting","Home","Inherited","All","not_assigned","not_assigned","not_assigned","Newest-first sorting. Inherited behavior: Project ordering. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Create projects at different times and sort newest first; ties and pagination preserve stable ordering. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E03 historical row reports Partial: New local projects are inserted first; no selectable sort. No newer row-specific verification reviewed.","Partial","New local projects are inserted first; no selectable sort.","Live verified; 01-home-dashboard.png; Project ordering. Evidence about Architect only.","E01 || E03#A014","committed_scope_not_completion","2026-09-25"
"A015","baseline","My Projects view","Projects","Inherited","All","not_assigned","not_assigned","not_assigned","My Projects view. Inherited behavior: Owned app management. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","List personally owned projects separately from company/shared ownership; switching scope updates the list. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports cloud project persistence, search and archive/restore. This supports a partial slice only; full baseline subcontrols require individual verification.","Working locally","Local project library.","Live verified; 01-home-dashboard.png; Owned app management. Evidence about Architect only.","E01 || E03#A015 || E04","committed_scope_not_completion","2026-09-25"
"A016","baseline","Published Projects view","Projects","Inherited","Creators","not_assigned","not_assigned","not_assigned","Published Projects view. Inherited behavior: Published app management. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","List published projects using publication records; drafts and failed publications are excluded. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 11-published-projects.png; Published app management. Evidence about Architect only.","E01 || E03#A016","committed_scope_not_completion","2026-09-25"
"A017","baseline","Shared Projects view","Projects","Inherited","Teams","not_assigned","not_assigned","not_assigned","Shared Projects view. Inherited behavior: Collaborator inbox. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","List shared projects with owner and permission; stale/revoked links disclose no private metadata. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 12-shared-projects.png; Collaborator inbox. Evidence about Architect only.","E01 || E03#A017","committed_scope_not_completion","2026-09-25"
"A018","baseline","Project search","Projects","Inherited","All","not_assigned","not_assigned","not_assigned","Project search. Inherited behavior: Search in lists. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Search names and descriptions, clear query and handle no matches; results remain authorized. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports cloud project persistence, search and archive/restore. This supports a partial slice only; full baseline subcontrols require individual verification.","Working locally","Name and description search.","Live verified; 12-shared-projects.png; Search in lists. Evidence about Architect only.","E01 || E03#A018 || E04","committed_scope_not_completion","2026-09-25"
"A019","baseline","Open or visit project","Projects","Inherited","All","not_assigned","not_assigned","not_assigned","Open or visit project. Inherited behavior: Card action. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Open a saved project or permitted deployed URL; missing or inaccessible targets offer recovery. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports cloud project persistence, search and archive/restore. This supports a partial slice only; full baseline subcontrols require individual verification.","Working locally","Open a saved workspace.","Live verified; 01-home-dashboard.png; Card action. Evidence about Architect only.","E01 || E03#A019 || E04","committed_scope_not_completion","2026-09-25"
"A020","baseline","Rename app","Projects","Inherited","All","not_assigned","not_assigned","not_assigned","Rename app. Inherited behavior: Dialog inspected and cancelled. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Rename a project, reload and inspect links; stable IDs survive and invalid names are rejected. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 55-rename-app.png; Dialog inspected and cancelled. Evidence about Architect only.","E01 || E03#A020","committed_scope_not_completion","2026-09-25"
"A021","baseline","Duplicate app","Projects","Inherited","All","not_assigned","not_assigned","not_assigned","Duplicate app. Inherited behavior: Not executed. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Duplicate into an owned project with new IDs; do not copy secrets, memberships or billing authorization. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live visible; 29-project-actions-menu.png; Not executed. Evidence about Architect only.","E01 || E03#A021","committed_scope_not_completion","2026-09-25"
"A022","baseline","Delete app","Projects","Inherited","All","not_assigned","not_assigned","not_assigned","Delete app. Inherited behavior: Destructive action not executed. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Confirm deletion with impact shown; revoke access and handle retention/running jobs without deleting unrelated projects. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live visible; 29-project-actions-menu.png; Destructive action not executed. Evidence about Architect only.","E01 || E03#A022","committed_scope_not_completion","2026-09-25"
"A023","baseline","Download code","Projects","Inherited","Developers","not_assigned","not_assigned","not_assigned","Download code. Inherited behavior: No download required. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Developer || Admin || Client","J16 || J07","SC21","Owner/granted exporter; secrets and unauthorized client/workspace data excluded.","EC01 || EC02 || EC03 || EC11 || EC07 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Download actual source tree with manifest; exclude secrets and disclose omitted or unsupported dependencies. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC07, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E03 historical row reports Partial: Exports one editable source draft, not an entire generated repository. No newer row-specific verification reviewed.","Partial","Exports one editable source draft, not an entire generated repository.","Live visible; 29-project-actions-menu.png; No download required. Evidence about Architect only.","E01 || E03#A023","committed_scope_not_completion","2026-09-25"
"A024","baseline","Saved versions via Git tags","Projects","Inherited","Developers","not_assigned","not_assigned","not_assigned","Saved versions via Git tags. Inherited behavior: Requires GitHub link. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Developer || QA","J03","SC12","Repository contributor subject to CODEOWNERS/branch protection; merge grant separate.","EC01 || EC02 || EC03 || EC11 || EC06 || EC04 || EC09","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Create and inspect actual Git-tagged versions; restore creates reviewable state without silently rewriting protected history. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC06, EC04, EC09); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 32-saved-versions.png; Requires GitHub link. Evidence about Architect only.","E01 || E03#A024","committed_scope_not_completion","2026-09-25"
